ts,equity,cash,at_risk,realized_cum,wins,losses,n_open
2026-08-19T17:05:01.551859+00:00,250.0,224.38,25.62,0.0,0,0,4
2026-08-19T17:19:26.049788+00:00,250.0,192.9,57.1,0.0,0,0,8
2026-08-19T17:48:16.438276+00:00,250.0,192.9,57.1,0.0,0,0,8
2026-08-19T18:21:33.218084+00:00,238.6,199.9,38.7,-11.4,1,1,6
2026-08-19T19:01:10.740684+00:00,238.6,199.9,38.7,-11.4,1,1,6
2026-08-19T19:47:24.443313+00:00,238.6,199.9,38.7,-11.4,1,1,6
2026-08-19T20:17:54.274286+00:00,238.6,199.9,38.7,-11.4,1,1,6
2026-08-19T20:51:51.408033+00:00,238.6,199.9,38.7,-11.4,1,1,6
2026-08-19T21:18:11.298754+00:00,224.49,201.26,23.23,-25.51,4,4,3
2026-08-19T21:48:35.957402+00:00,224.49,201.26,23.23,-25.51,4,4,3
2026-08-19T22:16:28.059186+00:00,224.49,190.31,34.18,-25.51,4,4,4
2026-08-19T22:48:32.692582+00:00,224.49,190.31,34.18,-25.51,4,4,4
2026-08-19T23:15:47.906446+00:00,224.49,178.62,45.87,-25.51,4,4,5
2026-08-19T23:44:15.721724+00:00,224.49,178.62,45.87,-25.51,4,4,5
2026-08-20T00:44:44.326727+00:00,227.74,193.56,34.18,-22.26,5,4,4
2026-08-20T02:12:37.415103+00:00,227.74,191.81,35.93,-22.26,5,4,5
2026-08-20T03:23:10.506272+00:00,227.74,168.71,59.03,-22.26,5,4,8
2026-08-20T04:05:44.454289+00:00,230.05,171.67,58.38,-19.95,6,4,8
2026-08-20T05:02:09.128328+00:00,230.05,171.67,58.38,-19.95,6,4,8
2026-08-20T05:54:32.992792+00:00,230.05,170.65,59.4,-19.95,6,4,9
2026-08-20T06:31:34.941972+00:00,230.05,170.65,59.4,-19.95,6,4,9
2026-08-20T07:34:00.381451+00:00,230.05,170.65,59.4,-19.95,6,4,9
2026-08-20T08:28:00.052628+00:00,230.05,170.65,59.4,-19.95,6,4,9
2026-08-20T09:05:22.097585+00:00,230.05,165.21,64.84,-19.95,6,4,10
2026-08-20T09:58:11.174683+00:00,230.05,165.21,64.84,-19.95,6,4,10
2026-08-20T10:29:59.404108+00:00,230.05,159.1,70.95,-19.95,6,4,11
2026-08-20T10:58:49.776649+00:00,230.05,159.1,70.95,-19.95,6,4,11
2026-08-20T11:28:10.637707+00:00,233.39,168.55,64.84,-16.61,7,4,10
2026-08-20T11:53:31.719089+00:00,233.39,157.59,75.8,-16.61,7,4,11
2026-08-20T12:30:39.983243+00:00,233.39,150.02,83.37,-16.61,7,4,12
2026-08-20T13:39:17.586882+00:00,233.39,150.02,83.37,-16.61,7,4,12
2026-08-20T14:27:33.246617+00:00,233.39,134.93,98.46,-16.61,7,4,15
2026-08-20T15:04:56.800173+00:00,228.5,140.22,88.28,-21.5,8,5,13
2026-08-20T15:57:11.849368+00:00,228.5,140.22,88.28,-21.5,8,5,13
2026-08-20T16:31:05.716376+00:00,228.5,140.22,88.28,-21.5,8,5,13
2026-08-20T17:21:05.845460+00:00,228.5,123.7,104.8,-21.5,8,5,16
2026-08-20T17:54:22.642553+00:00,228.5,109.41,119.09,-21.5,8,5,18
2026-08-20T18:26:06.046513+00:00,224.44,115.22,109.22,-25.56,9,6,17
2026-08-20T19:15:01.546853+00:00,226.1,103.93,122.17,-23.9,10,6,20
2026-08-20T19:53:55.859942+00:00,226.1,103.93,122.17,-23.9,10,6,20
2026-08-20T20:19:06.949391+00:00,228.85,107.71,121.14,-21.15,12,7,19
2026-08-20T20:53:53.808730+00:00,228.85,107.71,121.14,-21.15,12,7,19
