ts,asset,series,market_ticker,title,sub_title,strike_type,floor,cap,side,action,close_time,hours_left,spot,sigma_ann,p_model,kalshi_prob,odds,edge_pct,kelly_pct,stake,volume,event_ticker
2026-08-17T11:18:14.451825+00:00,BTC,KXBTCD,KXBTCD-26AUG1708-T63599.99,"Bitcoin price on Aug 17, 2026?","$63,600 or above",greater,63599.99,,no,buy,2026-08-17T12:00:00Z,0.7,63603.845,24.1,0.486,0.427,2.342,13.7,10.2,3.31,22327.81,KXBTCD-26AUG1708
2026-08-17T11:18:14.451825+00:00,ETH,KXETHD,KXETHD-26AUG1708-T1904.99,"Ethereum price at Aug 17, 2026 at 8am EDT?","$1,905 or above",greater,1904.99,,no,buy,2026-08-17T12:00:00Z,0.7,1904.27,31.1,0.572,0.507,1.97,12.8,13.2,4.27,379.33,KXETHD-26AUG1708
2026-08-17T11:18:14.451825+00:00,XRP,KXXRP,KXXRP-26AUG1708-B0.9899500,"Ripple price at Aug 17, 2026 at 8am EDT?",$0.98 to 0.9999,between,0.98,0.9999,yes,buy,2026-08-17T12:00:00Z,0.7,0.9994,33.7,0.579,0.517,1.932,11.9,12.8,4.13,467.0,KXXRP-26AUG1708
2026-08-17T11:18:14.451825+00:00,SOL,KXSOLE,KXSOLE-26AUG1717-B75,"SOL price on Aug 17, 2026?",$75 to 75.9999,between,75.0,75.9999,yes,buy,2026-08-17T21:00:00Z,9.7,75.635,35.3,0.52,0.467,2.14,11.3,9.9,3.2,2010.3,KXSOLE-26AUG1717
2026-08-17T11:18:14.451825+00:00,ETH,KXETH,KXETH-26AUG1717-B1910,"Ethereum price at Aug 17, 2026 at 5pm EDT?","$1,890 to 1,929.99",between,1890.0,1929.99,yes,buy,2026-08-17T21:00:00Z,9.7,1904.27,31.1,0.747,0.695,1.438,7.5,17.1,5.54,14564.33,KXETH-26AUG1717
2026-08-17T11:18:14.451825+00:00,BTC,KXBTCD,KXBTCD-26AUG1717-T63999.99,"Bitcoin price on Aug 17, 2026?","$64,000 or above",greater,63999.99,,no,buy,2026-08-17T21:00:00Z,9.7,63603.845,24.1,0.834,0.792,1.263,5.3,20.2,6.52,66202.66,KXBTCD-26AUG1717
2026-08-17T11:18:14.451825+00:00,BTC,KXBTCD,KXBTCD-26AUG1717-T63249.99,"Bitcoin price on Aug 17, 2026?","$63,250 or above",greater,63249.99,,yes,buy,2026-08-17T21:00:00Z,9.7,63603.845,24.1,0.809,0.782,1.278,3.4,12.1,3.91,106693.44,KXBTCD-26AUG1717
2026-08-17T11:18:14.451825+00:00,ETH,KXETH,KXETH-26AUG1717-B1870,"Ethereum price at Aug 17, 2026 at 5pm EDT?","$1,850 to 1,889.99",between,1850.0,1889.99,no,buy,2026-08-17T21:00:00Z,9.7,1904.27,31.1,0.826,0.802,1.248,3.0,12.2,3.96,8907.26,KXETH-26AUG1717
2026-08-17T11:18:14.451825+00:00,BTC,KXBTCD,KXBTCD-26AUG1708-T63699.99,"Bitcoin price on Aug 17, 2026?","$63,700 or above",greater,63699.99,,no,buy,2026-08-17T12:00:00Z,0.7,63603.845,24.1,0.812,0.792,1.263,2.6,9.8,3.18,20568.6,KXBTCD-26AUG1708
2026-08-17T11:18:14.451825+00:00,BTC,KXBTCD,KXBTCD-26AUG1717-T63749.99,"Bitcoin price on Aug 17, 2026?","$63,750 or above",greater,63749.99,,no,buy,2026-08-17T21:00:00Z,9.7,63603.845,24.1,0.649,0.636,1.571,2.0,3.4,1.11,40609.73,KXBTCD-26AUG1717
2026-08-17T11:18:14.451825+00:00,ETH,KXETHD,KXETHD-26AUG1717-T1889.99,"Ethereum price at Aug 17, 2026 at 5pm EDT?","$1,890 or above",greater,1889.99,,yes,buy,2026-08-17T21:00:00Z,9.7,1904.27,31.1,0.817,0.802,1.248,2.0,8.0,2.58,8666.29,KXETHD-26AUG1717
2026-08-17T11:18:14.451825+00:00,SOL,KXSOLE,KXSOLE-26AUG1717-B74,"SOL price on Aug 17, 2026?",$74 to 74.9999,between,74.0,74.9999,no,buy,2026-08-17T21:00:00Z,9.7,75.635,35.3,0.844,0.83,1.204,1.6,7.9,2.55,2001.01,KXSOLE-26AUG1717
